Number of Military and DoD Appropriated Fund (APF) Civilian Personnel Permanently Assigned,,,,,,,,,,,,,,,,,,,,,,
By Duty Location and Service/Component,,,,,,,,,,,,,,,,,,,,,,
"As of December 31, 2017",,,,,,,,,,,,,,,,,,,,,,
"Sources: Active Duty Master File, Reserve Common Components Personnel Data System (RCCPDS) File, Appropriated Fund (APF) Civilian Master File",,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
LOCATION,DUTY STATE / COUNTRY,ACTIVE DUTY,,,,,,NATIONAL GUARD / RESERVE,,,,,,,,APF DOD CIVILIAN,,,,,,GRAND TOTAL
,,ARMY,NAVY,MARINE CORPS,AIR FORCE,COAST GUARD,TOTAL,ARMY NATIONAL GUARD,ARMY RESERVE,NAVY RESERVE,MARINE CORPS RESERVE,AIR NATIONAL GUARD,AIR FORCE RESERVE,COAST GUARD RESERVE,TOTAL,ARMY,NAVY,MARINE CORPS,AIR FORCE,4TH ESTATE (DOD),TOTAL,
UNITED STATES,ALABAMA,"4,633",85,156,"2,919",915,"8,708","10,043","4,861",288,717,"2,338","1,354",105,"19,706","17,588",112,5,"2,337","3,446","23,488","51,902"
,ALASKA,"10,651",50,18,"7,114","1,948","19,781","1,715",357,61,51,"2,101",351,40,"4,676","2,206",5,0,"2,358",300,"4,869","29,326"
,ARIZONA,"4,595",393,"4,162","10,001",5,"19,156","5,233","3,463",924,620,"2,485","2,290",0,"15,015","3,793",183,452,"3,295","1,173","8,896","43,067"
,ARKANSAS,121,15,183,"3,263",21,"3,603","6,718","1,676",146,148,"1,881",439,0,"11,008","2,199",7,0,"1,014",107,"3,327","17,938"
,ARMED FORCES EUROPE,546,"34,334",15,215,15,"35,125",0,1,118,0,0,0,0,119,0,0,0,0,0,0,"35,244"
,ARMED FORCES PACIFIC,0,"50,373",884,0,0,"51,257",0,1,249,1,0,0,0,251,0,0,0,0,0,0,"51,508"
,ARMED FORCES THE AMERICAS,0,"6,884",0,0,0,"6,884",0,0,49,0,0,0,0,49,0,0,0,0,0,0,"6,933"
,CALIFORNIA,"6,613","46,959","57,245","17,881","4,642","133,340","13,894","16,235","8,021","5,532","4,574","7,540",827,"56,623","8,785","32,636","4,288","9,898","6,026","61,633","251,596"
,COLORADO,"25,674",745,229,"8,622",42,"35,312","3,763","3,637",882,406,"1,579","3,010",12,"13,289","4,348",60,2,"5,492","1,473","11,375","59,976"
,CONNECTICUT,111,"3,844",68,36,633,"4,692","3,498","1,227",413,271,"1,201",1,80,"6,691",508,"1,122",0,248,641,"2,519","13,902"
,DELAWARE,65,18,15,"3,329",42,"3,469","1,536",490,120,156,"1,114","1,544",8,"4,968",210,3,2,"1,052",115,"1,382","9,819"
,DISTRICT OF COLUMBIA,"1,595","2,585","2,198","1,756","1,694","9,828","1,319",500,109,657,"1,289",258,143,"4,275","1,336","10,260",24,329,742,"12,691","26,794"
,FLORIDA,"5,826","21,594","3,590","23,029","4,858","58,897","9,542","10,085","5,766","1,651","2,116","6,583",826,"36,569","3,758","12,346",261,"12,239","2,204","30,808","126,274"
,GEORGIA,"47,280","3,545","1,265","9,271",487,"61,848","10,997","7,505","1,440",770,"2,762","3,101",75,"26,650","11,584","2,381","1,816","14,439","2,965","33,185","121,683"
,HAWAII,"16,466","7,912","7,139","5,060","1,211","37,788","2,986","2,500",613,293,"2,239",720,130,"9,481","5,248","10,109",609,"1,655","1,240","18,861","66,130"
,IDAHO,53,34,35,"3,341",4,"3,467","3,037",750,170,115,"1,359",25,0,"5,456",683,69,0,729,51,"1,532","10,455"
,ILLINOIS,943,"13,658",383,"4,370",135,"19,489","9,852","6,499","2,027","1,315","3,006","1,455",60,"24,214","6,859","1,029",30,"3,451","1,191","12,560","56,263"
,INDIANA,567,101,188,88,40,984,"11,614","2,817",391,635,"1,918","1,567",8,"18,950","1,973","3,616",238,864,"4,334","11,025","30,959"
,IOWA,96,22,66,31,34,249,"6,758","2,028",150,136,"1,791",0,0,"10,863",930,5,1,459,61,"1,456","12,568"
,KANSAS,"18,598",60,89,"3,166",108,"22,021","4,530","2,680",101,199,"2,066",693,23,"10,292","5,473",5,1,"1,038",313,"6,830","39,143"
,KENTUCKY,"31,594",9,85,218,156,"32,062","6,679","4,215",254,255,"1,251",4,50,"12,708","8,699",18,3,320,992,"10,032","54,802"
,LOUISIANA,"8,086",399,708,"5,317","1,214","15,724","9,759","1,995","1,195","1,265","1,528","1,401",137,"17,280","3,207",528,224,"1,623",265,"5,847","38,851"
,MAINE,40,189,29,9,583,850,"1,973",333,106,183,"1,138",0,65,"3,798",293,"6,403",0,296,782,"7,774","12,422"
,MARYLAND,"8,346","9,719","1,782","8,317",955,"29,119","4,682","6,112","3,549",580,"1,876","1,800",165,"18,764","16,379","16,607",109,"3,083","8,172","44,350","92,233"
,MASSACHUSETTS,385,367,186,"1,047","1,667","3,652","5,985","3,541",267,816,"2,240","2,126",376,"15,351","2,245",157,4,"3,164",808,"6,378","25,381"
,MICHIGAN,437,193,235,110,"1,144","2,119","8,036","2,895",866,966,"2,408",1,98,"15,270","6,896",31,8,794,"1,632","9,361","26,750"
,MINNESOTA,154,135,116,50,136,591,"10,761","3,121",614,451,"2,272","1,355",25,"18,599","1,326",16,1,862,166,"2,371","21,561"
,MISSISSIPPI,531,"4,409",472,"5,667",332,"11,411","9,455","1,782",837,77,"2,660","1,517",110,"16,438","3,740","2,409",0,"2,436",315,"8,900","36,749"
,MISSOURI,"9,294",297,"1,302","4,125",196,"15,214","9,302","4,674","1,122",709,"2,284","1,079",85,"19,255","5,423",53,118,"1,263",669,"7,526","41,995"
,MONTANA,58,4,24,"3,212",0,"3,298","2,524",680,116,69,977,22,0,"4,388",465,0,0,811,49,"1,325","9,011"
,NEBRASKA,157,401,79,"5,625",17,"6,279","3,309","1,248",264,142,"1,011",300,0,"6,274","1,324",45,4,"2,632",106,"4,111","16,664"
,NEVADA,150,929,56,"9,909",0,"11,044","3,264","1,465",420,194,"1,130","1,261",0,"7,734",433,282,0,"1,535",162,"2,412","21,190"
,NEW HAMPSHIRE,46,229,53,145,287,760,"1,602","1,036",259,198,"1,103",0,9,"4,207",450,11,3,330,178,972,"5,939"
