Number of Military and DoD Appropriated Fund (APF) Civilian Personnel Permanently Assigned,,,,,,,,,,,,,,,,,,,,,,
By Duty Location and Service/Component,,,,,,,,,,,,,,,,,,,,,,
"As of June 30, 2018",,,,,,,,,,,,,,,,,,,,,,
"Sources: Active Duty Master File, Reserve Common Components Personnel Data System (RCCPDS) File, Appropriated Fund (APF) Civilian Master File",,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
LOCATION,DUTY STATE / COUNTRY,ACTIVE DUTY,,,,,,NATIONAL GUARD / RESERVE,,,,,,,,APF DOD CIVILIAN,,,,,,GRAND TOTAL
,,ARMY,NAVY,MARINE CORPS,AIR FORCE,COAST GUARD,TOTAL,ARMY NATIONAL GUARD,ARMY RESERVE,NAVY RESERVE,MARINE CORPS RESERVE,AIR NATIONAL GUARD,AIR FORCE RESERVE,COAST GUARD RESERVE,TOTAL,ARMY,NAVY,MARINE CORPS,AIR FORCE,4TH ESTATE (DOD),TOTAL,
UNITED STATES,ALABAMA,"4,578",80,151,"2,885",891,"8,585","9,901","4,659",290,691,"2,375","1,412",107,"19,435","17,675",102,5,"2,395","3,447","23,624","51,644"
,ALASKA,"10,724",50,21,"7,186","1,997","19,978","1,650",317,69,50,"2,156",336,42,"4,620","2,262",5,0,"2,369",303,"4,939","29,537"
,ARIZONA,"4,226",392,"4,512","10,100",5,"19,235","5,178","3,350",938,610,"2,481","2,390",0,"14,947","3,811",177,453,"3,256","1,200","8,897","43,079"
,ARKANSAS,123,20,199,"3,225",21,"3,588","6,685","1,634",134,127,"1,925",425,0,"10,930","2,337",8,0,"1,028",103,"3,476","17,994"
,ARMED FORCES EUROPE,0,0,5,224,199,428,0,"1,241",0,0,0,0,0,"1,241",0,0,0,0,0,0,"1,669"
,ARMED FORCES PACIFIC,0,0,"2,127",1,0,"2,128",0,375,0,0,0,0,0,375,0,0,0,0,0,0,"2,503"
,ARMED FORCES THE AMERICAS,0,0,0,0,28,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28
,CALIFORNIA,"6,867","71,322","59,726","18,128","4,745","160,788","13,548","16,052","8,158","5,427","4,631","7,499",841,"56,156","8,748","33,099","4,376","9,781","5,997","62,001","278,945"
,COLORADO,"25,493",744,226,"9,671",39,"36,173","3,726","3,603",917,397,"1,616","3,101",14,"13,374","4,419",65,3,"5,513","1,444","11,444","60,991"
,CONNECTICUT,107,"5,477",63,36,755,"6,438","3,540","1,185",393,264,"1,200",1,106,"6,689",547,"1,119",0,242,639,"2,547","15,674"
,DELAWARE,66,19,19,"3,383",42,"3,529","1,530",511,129,162,"1,116","1,544",10,"5,002",222,3,2,"1,002",112,"1,341","9,872"
,DISTRICT OF COLUMBIA,"1,574","2,557","2,208","1,716","1,716","9,771","1,284",500,139,633,"1,312",250,140,"4,258","1,422","10,324",24,337,754,"12,861","26,890"
,FLORIDA,"5,691","26,610","3,900","23,272","5,066","64,539","9,232","10,210","5,601","1,635","2,166","6,538",795,"36,177","3,764","12,578",273,"12,227","2,219","31,061","131,777"
,GEORGIA,"46,300","5,630","1,331","9,292",471,"63,024","10,848","7,571","1,403",768,"2,806","3,056",72,"26,524","11,775","2,462","1,856","14,596","2,921","33,610","123,158"
,HAWAII,"16,498","13,737","6,182","5,039","1,219","42,675","2,938","2,483",635,288,"2,275",708,132,"9,459","5,206","10,325",605,"1,578","1,208","18,922","71,056"
,IDAHO,52,38,41,"3,312",4,"3,447","3,058",734,172,117,"1,355",28,0,"5,464",711,72,0,703,46,"1,532","10,443"
,ILLINOIS,945,"13,736",406,"4,394",142,"19,623","9,912","6,372","2,131","1,288","2,983","1,467",63,"24,216","6,801","1,017",31,"3,495","1,162","12,506","56,345"
,INDIANA,539,115,206,80,37,977,"11,437","2,725",378,631,"1,918","1,581",8,"18,678","1,982","3,731",259,748,"4,482","11,202","30,857"
,IOWA,94,18,70,31,34,247,"6,641","1,971",141,142,"1,822",0,0,"10,717",930,5,1,488,63,"1,487","12,451"
,KANSAS,"18,141",75,90,"3,206",85,"21,597","4,421","2,638",124,198,"2,101",706,18,"10,206","5,531",4,1,"1,056",339,"6,931","38,734"
,KENTUCKY,"32,895",8,94,235,164,"33,396","6,522","4,255",263,246,"1,271",5,51,"12,613","8,664",19,2,280,953,"9,918","55,927"
,LOUISIANA,"8,036",374,720,"5,321","1,256","15,707","9,787","1,958","1,153","1,225","1,534","1,376",130,"17,163","3,270",547,226,"1,605",254,"5,902","38,772"
,MAINE,38,88,25,8,691,850,"1,929",364,98,172,"1,140",0,65,"3,768",274,"6,573",0,290,774,"7,911","12,529"
,MARYLAND,"8,388","10,501","1,872","8,330",964,"30,055","4,587","5,911","3,408",569,"1,914","1,815",170,"18,374","16,553","16,944",111,"3,081","8,227","44,916","93,345"
,MASSACHUSETTS,377,386,195,"1,077","1,715","3,750","5,903","3,542",284,837,"2,226","2,030",372,"15,194","2,253",153,5,"3,115",788,"6,314","25,258"
,MICHIGAN,435,218,218,105,"1,162","2,138","8,015","2,842",880,960,"2,447",1,95,"15,240","6,941",33,8,803,"1,607","9,392","26,770"
,MINNESOTA,160,136,125,49,132,602,"10,882","2,977",586,439,"2,297","1,355",27,"18,563","1,386",15,1,741,166,"2,309","21,474"
,MISSISSIPPI,431,"4,963",490,"5,673",275,"11,832","9,414","1,765",768,87,"2,681","1,539",110,"16,364","3,582","2,456",0,"2,496",320,"8,854","37,050"
,MISSOURI,"9,412",332,"1,542","4,180",195,"15,661","9,170","4,601","1,098",750,"2,280","1,072",85,"19,056","5,571",50,117,"1,204",659,"7,601","42,318"
,MONTANA,59,9,25,"3,215",0,"3,308","2,459",647,119,74,968,25,0,"4,292",478,0,0,816,45,"1,339","8,939"
,NEBRASKA,160,385,78,"5,670",18,"6,311","3,200","1,230",260,144,"1,000",301,0,"6,135","1,358",40,4,"2,627",102,"4,131","16,577"
,NEVADA,154,937,67,"10,011",0,"11,169","3,117","1,442",425,193,"1,153","1,268",0,"7,598",473,283,0,"1,564",161,"2,481","21,248"
,NEW HAMPSHIRE,49,887,72,152,182,"1,342","1,589",917,261,191,"1,119",1,8,"4,086",485,9,3,371,182,"1,050","6,478"
,NEW JERSEY,615,482,392,"4,699","1,671","7,859","5,867","3,951","1,198","1,202","2,412","2,299",217,"17,146","5,170","2,370",10,"1,944",576,"10,070","35,075"
