Number of Military and DoD Appropriated Fund (APF) Civilian Personnel Permanently Assigned,,,,,,,,,,,,,,,,,,,,,,
By Duty Location and Service/Component,,,,,,,,,,,,,,,,,,,,,,
"As of March 31, 2018",,,,,,,,,,,,,,,,,,,,,,
"Sources: Active Duty Master File, Reserve Common Components Personnel Data System (RCCPDS) File, Appropriated Fund (APF) Civilian Master File",,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
LOCATION,DUTY STATE / COUNTRY,ACTIVE DUTY,,,,,,NATIONAL GUARD / RESERVE,,,,,,,,APF DOD CIVILIAN,,,,,,GRAND TOTAL
,,ARMY,NAVY,MARINE CORPS,AIR FORCE,COAST GUARD,TOTAL,ARMY NATIONAL GUARD,ARMY RESERVE,NAVY RESERVE,MARINE CORPS RESERVE,AIR NATIONAL GUARD,AIR FORCE RESERVE,COAST GUARD RESERVE,TOTAL,ARMY,NAVY,MARINE CORPS,AIR FORCE,4TH ESTATE (DOD),TOTAL,
UNITED STATES,ALABAMA,"4,585",119,154,"3,042",913,"8,813","10,000","4,763",292,698,"2,347","1,373",104,"19,577","17,483",108,5,"2,403","3,455","23,454","51,844"
,ALASKA,"10,740",50,20,"7,140","1,957","19,907","1,675",331,67,49,"2,133",339,41,"4,635","2,216",5,0,"2,385",296,"4,902","29,444"
,ARIZONA,"4,556",391,"4,452","10,066",5,"19,470","5,219","3,393",946,614,"2,477","2,341",0,"14,990","3,756",175,448,"3,298","1,195","8,872","43,332"
,ARKANSAS,123,14,181,"3,282",21,"3,621","6,705","1,659",141,135,"1,905",426,0,"10,971","2,224",7,0,"1,015",106,"3,352","17,944"
,ARMED FORCES EUROPE,521,"1,337",5,220,15,"2,098",0,1,1,0,0,0,0,2,0,0,0,0,0,0,"2,100"
,ARMED FORCES PACIFIC,0,998,847,0,0,"1,845",0,1,0,1,0,0,0,2,0,0,0,0,0,0,"1,847"
,ARMED FORCES THE AMERICAS,0,811,0,0,0,811,0,0,5,0,0,0,0,5,0,0,0,0,0,0,816
,CALIFORNIA,"6,735","70,086","58,101","17,988","4,673","157,583","13,674","16,114","8,016","5,546","4,588","7,531",819,"56,288","8,743","32,594","4,292","9,795","6,006","61,430","275,301"
,COLORADO,"25,937",747,232,"8,599",42,"35,557","3,743","3,632",875,404,"1,587","3,037",13,"13,291","4,332",59,2,"5,471","1,460","11,324","60,172"
