Number of Military and DoD Appropriated Fund (APF) Civilian Personnel Permanently Assigned,,,,,,,,,,,,,,,,,,,,,,
By Duty Location and Service/Component,,,,,,,,,,,,,,,,,,,,,,
"As of December 31, 2018",,,,,,,,,,,,,,,,,,,,,,
"Sources: Active Duty Master File, Reserve Common Components Personnel Data System (RCCPDS) File, Appropriated Fund (APF) Civilian Master File",,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
LOCATION,DUTY STATE / COUNTRY,ACTIVE DUTY,,,,,,NATIONAL GUARD / RESERVE,,,,,,,,APF DOD CIVILIAN,,,,,,GRAND TOTAL
,,ARMY,NAVY,MARINE CORPS,AIR FORCE,COAST GUARD,TOTAL,ARMY NATIONAL GUARD,ARMY RESERVE,NAVY RESERVE,MARINE CORPS RESERVE,AIR NATIONAL GUARD,AIR FORCE RESERVE,COAST GUARD RESERVE,TOTAL,ARMY,NAVY,MARINE CORPS,AIR FORCE,4TH ESTATE (DOD),TOTAL,
UNITED STATES,ALABAMA,"4,475",80,147,"2,917",936,"8,555","9,799","4,753",285,605,"2,387","1,422",108,"19,359","17,961",105,5,"2,439","3,463","23,973","51,887"
,ALASKA,"10,246",47,19,"7,115","1,984","19,411","1,617",336,72,59,"2,154",348,40,"4,626","2,286",6,0,"2,358",294,"4,944","28,981"
,ARIZONA,"4,388",390,"4,211","10,264",5,"19,258","5,147","3,404","1,019",573,"2,485","2,439",1,"15,068","3,760",185,472,"3,251","1,192","8,860","43,186"
,ARKANSAS,124,10,135,"3,281",20,"3,570","6,585","1,648",142,120,"1,913",407,0,"10,815","2,299",8,0,"1,030",95,"3,432","17,817"
,ARMED FORCES EUROPE,0,0,0,0,0,0,0,"1,236",0,0,0,0,0,"1,236",0,0,0,0,0,0,"1,236"
,ARMED FORCES PACIFIC,0,0,0,0,0,0,0,397,0,0,0,0,0,397,0,0,0,0,0,0,397
,CALIFORNIA,"6,971","72,322","57,010","18,209","4,800","159,312","13,337","16,079","8,619","5,460","4,728","7,518",804,"56,545","8,898","33,940","4,556","9,756","5,964","63,114","278,971"
,COLORADO,"25,487",758,212,"8,722",43,"35,222","3,683","3,595",996,493,"1,633","3,180",16,"13,596","4,402",82,3,"5,427","1,424","11,338","60,156"
,CONNECTICUT,111,"5,500",63,38,627,"6,339","3,517","1,219",445,277,"1,196",1,78,"6,733",488,"1,145",0,233,633,"2,499","15,571"
,DELAWARE,65,22,20,"3,363",45,"3,515","1,540",517,133,150,"1,104","1,519",10,"4,973",241,4,2,"1,013",109,"1,369","9,857"
,DISTRICT OF COLUMBIA,"1,578","2,487","2,195","1,780","1,758","9,798","1,245",465,48,638,"1,313",249,153,"4,111","1,358","10,358",26,344,771,"12,857","26,766"
,FLORIDA,"5,720","27,811","3,940","23,206","5,073","65,750","9,134","10,355","6,179","1,650","2,179","6,578",806,"36,881","3,756","12,940",281,"12,251","2,219","31,447","134,078"
,GEORGIA,"46,765","5,955","1,310","9,269",503,"63,802","10,841","7,633","1,495",745,"2,819","3,099",62,"26,694","11,810","2,500","1,907","14,924","3,012","34,153","124,649"
,HAWAII,"16,093","13,781","7,058","5,111","1,212","43,255","2,938","2,395",667,292,"2,280",728,134,"9,434","5,184","10,557",616,"1,544","1,202","19,103","71,792"
,IDAHO,59,40,35,"3,373",4,"3,511","3,084",748,179,119,"1,385",26,0,"5,541",696,74,0,736,45,"1,551","10,603"
,ILLINOIS,953,"14,293",408,"4,363",144,"20,161","10,035","6,288","1,969","1,328","2,969","1,476",75,"24,140","6,854","1,023",31,"3,493","1,156","12,557","56,858"
,INDIANA,564,111,197,96,36,"1,004","11,164","2,771",384,636,"1,939","1,573",8,"18,475","1,997","3,750",276,834,"4,526","11,383","30,862"
,IOWA,100,17,72,30,36,255,"6,603","1,987",157,152,"1,845",0,0,"10,744",986,5,1,467,59,"1,518","12,517"
,KANSAS,"18,341",76,98,"3,132",84,"21,731","4,300","2,567",132,190,"2,148",724,17,"10,078","5,455",3,0,"1,062",328,"6,848","38,657"
,KENTUCKY,"30,793",7,93,233,160,"31,286","6,443","4,102",299,241,"1,266",4,46,"12,401","8,597",20,3,312,960,"9,892","53,579"
,LOUISIANA,"8,068",393,726,"5,274","1,246","15,707","9,839","1,944","1,167","1,243","1,536","1,394",125,"17,248","3,331",549,225,"1,602",255,"5,962","38,917"
,MAINE,49,54,19,8,700,830,"1,903",327,102,165,"1,148",0,58,"3,703",279,"6,925",0,305,769,"8,278","12,811"
,MARYLAND,"8,304","9,711","1,719","8,340",955,"29,029","4,548","5,943","3,798",590,"1,928","1,831",166,"18,804","16,556","17,371",108,"3,013","8,203","45,251","93,084"
,MASSACHUSETTS,401,382,228,"1,113","1,677","3,801","5,835","3,459",297,834,"2,230","1,995",373,"15,023","2,249",156,6,"3,187",807,"6,405","25,229"
,MICHIGAN,440,226,194,112,"1,142","2,114","8,112","2,846",912,942,"2,428",1,84,"15,325","7,010",32,9,780,"1,600","9,431","26,870"
,MINNESOTA,161,121,124,48,136,590,"10,881","2,900",610,448,"2,300","1,376",24,"18,539","1,325",19,1,860,165,"2,370","21,499"
,MISSISSIPPI,471,"5,073",477,"6,026",258,"12,305","9,402","1,806",596,96,"2,655","1,567",118,"16,240","3,682","2,499",0,"2,445",306,"8,932","37,477"
,MISSOURI,"8,211",272,"1,445","4,085",191,"14,204","9,198","4,580","1,214",764,"2,292","1,055",84,"19,187","5,510",47,110,"1,272",661,"7,600","40,991"
,MONTANA,59,8,25,"3,191",0,"3,283","2,423",646,119,72,946,25,0,"4,231",472,0,0,801,42,"1,315","8,829"
,NEBRASKA,153,373,78,"5,642",18,"6,264","3,154","1,172",273,153,997,320,0,"6,069","1,325",41,3,"2,571",103,"4,043","16,376"
,NEVADA,169,949,61,"10,031",0,"11,210","3,086","1,426",448,202,"1,176","1,262",0,"7,600",455,280,0,"1,584",161,"2,480","21,290"
,NEW HAMPSHIRE,54,863,23,154,171,"1,265","1,552",983,269,194,"1,139",1,6,"4,144",442,10,2,373,170,997,"6,406"
,NEW JERSEY,623,468,382,"4,701","1,523","7,697","5,935","3,989","1,270","1,208","2,410","2,300",205,"17,317","5,130","2,429",10,"1,899",585,"10,053","35,067"
,NEW MEXICO,384,73,62,"12,022",5,"12,546","2,722",756,224,88,"1,010",226,0,"5,026","2,248",108,0,"3,582",378,"6,316","23,888"
,NEW YORK,"17,101","1,519",638,388,"1,050","20,696","9,914","8,072","1,782","1,824","5,638","1,299",377,"28,906","6,919",100,32,"2,124","1,942","11,117","60,719"
,NORTH CAROLINA,"45,122","4,525","45,399","6,686","1,723","103,455","9,593","6,056","1,214","1,056","1,432","1,595",191,"21,137","10,411","4,990","2,716","1,211","2,533","21,861","146,453"
,NORTH DAKOTA,21,5,15,"7,314",0,"7,355","2,892",219,60,53,"1,105",33,0,"4,362",447,2,1,"1,127",62,"1,639","13,356"
,OHIO,532,261,287,"5,382",406,"6,868","11,387","5,454","1,315","1,011","5,115","3,592",224,"28,098","1,486",103,3,"14,931","9,500","26,023","60,989"
,OKLAHOMA,"10,758","1,426",539,"7,134",20,"19,877","6,524","1,990",460,335,"2,242","1,835",0,"13,386","5,521",134,8,"17,365","1,773","24,801","58,064"
,OREGON,111,147,117,151,"1,097","1,623","5,450",520,481,352,"2,330",116,96,"9,345","2,345",22,2,660,20,"3,049","14,017"
,PENNSYLVANIA,979,614,399,218,335,"2,545","14,407","7,410",923,"1,360","4,090","1,248",122,"29,560","8,410","7,035",19,"1,123","8,002","24,589","56,694"
,RHODE ISLAND,139,"2,436",222,67,327,"3,191","1,919",504,608,100,"1,055",2,51,"4,239",230,"4,334",2,212,102,"4,880","12,310"
,SOUTH CAROLINA,"7,715","7,258","10,099","8,458",847,"34,377","9,139","3,926",592,390,"1,272","2,183",145,"17,647","3,508","3,568",742,"2,003",732,"10,553","62,577"
,SOUTH DAKOTA,71,2,10,"3,344",0,"3,427","3,151",312,88,0,"1,123",17,0,"4,691",494,1,0,803,43,"1,341","9,459"
,TENNESSEE,367,"1,370",168,165,165,"2,235","8,901","3,571","1,259",725,"3,423",5,48,"17,932","3,121","1,226",3,"1,117",508,"5,975","26,142"
,TEXAS,"72,823","6,176","2,155","37,935","1,771","120,860","17,581","17,995","5,506","3,271","3,322","5,914",330,"53,919","24,767","1,370",30,"16,349","4,501","47,017","221,796"
,UTAH,177,38,96,"4,015",0,"4,326","5,475","3,055",405,236,"1,451","1,418",0,"12,040","1,799",46,2,"12,103","1,100","15,050","31,416"
,VERMONT,56,6,7,55,38,162,"2,337",128,58,0,949,0,0,"3,472",258,2,0,263,28,551,"4,185"
,VIRGINIA,"23,935","76,300","10,999","12,155","4,122","127,511","7,031","7,801","5,038","1,936","1,418","1,924",420,"25,568","17,892","41,502","5,178","6,156","24,606","95,334","248,413"
,WASHINGTON,"26,521","25,046",782,"6,243","2,075","60,667","5,423","5,681","2,297",665,"2,013","1,843",311,"18,233","9,372","19,588",4,"1,499","1,228","31,691","110,591"
,WEST VIRGINIA,61,3,38,26,68,196,"4,050","1,903",73,85,"2,156",0,11,"8,278","1,202",2,0,467,36,"1,707","10,181"
,WISCONSIN,454,47,124,101,302,"1,028","7,056","3,981",403,471,"2,329",0,83,"14,323","1,829",67,2,543,111,"2,552","17,903"
,WYOMING,32,1,10,"3,115",0,"3,158","1,507",64,72,0,"1,211",50,0,"2,904",243,2,0,843,35,"1,123","7,185"
,UNKNOWN,"5,866",0,0,0,0,"5,866",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"5,866"
